bookid,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,subject
2,Twilight (Twilight  #1),Stephenie Meyer,3.59,316015849,9.78E+12,eng,501,4597666,94265,09/06/06,Little  Brown and Company,"{'Fiction', 'Friendship', 'Adaptations', 'Amitié', 'Escuelas', 'Amour', 'Vampiros', 'Persistence', 'Vampires', 'Vampires', 'Wohnungswechsel', 'Escuelas', 'cheese'}"
3,The Hobbit  or There and Back Again,J.R.R. Tolkien,4.27,618260307,9.78E+12,eng,366,2530894,32871,8/15/2002,Houghton Mifflin,"{'dwarves', 'Dwarfs', 'invisibility', 'Magiciens', 'Schultheater', 'Specimens', 'dwarves', 'wizards', 'trolls', 'invisibility'}"
4,The Catcher in the Rye,J.D. Salinger,3.8,316769177,9.78E+12,eng,277,2457092,43499,1/30/2001,Back Bay Books,{'Heranwachsender'}
5,Angels & Demons (Robert Langdon  #1),Dan Brown,3.89,1416524797,9.78E+12,eng,736,2418736,21303,04/01/06,Pocket Books,"{'Papas', 'popes', 'papacy', 'Investigation', 'heparin', 'vendetta', 'ambigrams', 'antimatter', 'Papas', 'Physicists', 'Terrorism', 'papacy', 'Illuminés', 'Vendeta', 'Papauté', 'election'}"
6,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9.78E+12,eng,435,2339585,36325,05/01/04,Scholastic Inc.,"{'Junge', 'Hechiceros', 'Verrat', 'fantasy', 'Freundschaft', 'Magia', 'Magiciens', 'Verrat', 'Magiciens', 'Magie', 'Magic', 'Wizards', 'Schools', 'Deutschland', 'Escuelas', 'Schools'}"
7,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling/Mary GrandPré,4.42,439064864,9.78E+12,eng,341,2293963,34692,06/02/99,Arthur A. Levine Books / Scholastic Inc.,"{'General', 'Jugendbuch', 'Jugendbuch', 'Family', 'List', 'Deutschland', 'Lebensrettung', 'Magia', 'Kampf', 'Family', 'Magier', 'Juvenile', 'Internat', 'Kampf', 'Juvenile', 'Écoles', 'Wizards', 'Aunts'}"
8,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,439358078,9.78E+12,eng,870,2153167,29221,09/01/04,Scholastic Inc.,"{'Witchcraft', 'Dueling', 'Schüler', 'Internat', 'Escuelas', 'Existenzkampf', 'England', 'Junge', 'Junge', 'Schools', 'Existenzkampf', 'Magier', 'Magiciens', 'Magia', 'Weissagung', 'Telepathie', 'Wizards', 'England', 'Fantasy'}"
9,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252,9.78E+12,eng,398,2128944,13670,09/05/03,Houghton Mifflin Harcourt,"{'hope', 'Elves', 'Dwarves', 'friends'}"
10,Animal Farm,George Orwell/Boris Grabnar/Peter Škerl,3.93,452284244,9.78E+12,eng,122,2111750,29677,05/06/03,NAL,"{'classic', 'Literature', 'Allegories', 'Allegories'}"
11,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,439785960,9.78E+12,eng,652,2095690,27591,9/16/2006,Scholastic Inc.,"{'Magic', 'Magic', 'Englisch', 'magie', 'Merveilleux', 'Magos', 'Escuelas', 'Écoles', 'Fiction', 'Magia', 'Écoles', 'Magos', 'Friendship', 'Magia', 'Magiciens'}"
12,Lord of the Flies,William Golding,3.68,140283331,9.78E+12,eng,182,2036679,26199,10/01/99,Penguin Books,"{'Survival', 'relationships', 'Ethics', 'shipwreck', 'shipwreck', 'relationships', 'morality', 'children', 'thriller', 'regression'}"
13,Romeo and Juliet,William Shakespeare/Paul Werstine/Barbara A. Mowat,3.74,743477111,9.78E+12,eng,368,1893917,14637,01/01/04,Simon Schuster,"{'Quartos', 'Sources', 'Aufführung', 'Translations', 'Juventud', 'Tragedy', 'Juventud', 'Youth', 'Sources', 'Juventud', 'Translations', 'Drama', 'Examinations', 'Tragedy', 'Drama', 'Quartos', 'Plays', 'Theater'}"
14,The Lightning Thief (Percy Jackson and the Olympians  #1),Rick Riordan,4.25,786838655,9.78E+12,eng,375,1766725,47951,03/01/06,Disney Hyperion Books,"{'Adaptations', 'Identity', 'Camps', 'Adaptations'}"
15,Of Mice and Men,John Steinbeck,3.87,142000671,9.78E+12,eng,103,1755253,25554,01/08/02,Penguin Books,"{'classics', 'Literary', 'Cowhands', 'Drifters', 'Vaqueros', 'Vaqueros'}"
16,The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.84,307277674,9.78E+12,eng,489,1679706,35877,3/28/2006,Anchor,"{'Romans', 'Mystery', 'Aventures', 'Grail', 'Templars', 'Manuscritos', 'Occultisme', 'Novela', 'Bruderschaft', 'suspense', 'General', 'Religious'}"
17,The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,3.86,61122416,9.78E+12,eng,197,1631221,55843,05/01/93,HarperCollins,"{'Novela', 'Pastores', 'Expeditions', 'Fiction', 'Spirituality'}"
18,The Giver (The Giver  #1),Lois Lowry,4.13,385732554,9.78E+12,eng,208,1585589,56604,1/24/2006,Ember,"{'Memory', 'Classic', 'Ethics'}"
19,The Book Thief,Markus Zusak/Cao Xuân Việt Khương,4.37,375831002,9.78E+12,eng,552,1516367,86881,3/14/2006,Alfred A. Knopf,"{'Fiction', 'Storytelling', 'Death', 'Rescue', 'Jews', 'Death', 'Sauvetage', 'Histoire'}"
20,Little Women,Louisa May Alcott,4.07,451529308,9.78E+12,eng,449,1479727,18458,04/06/04,Signet Classics,"{'Orphans', 'Hermanas', 'Hermanas', 'Hermanos', 'American', 'Dictionaries', 'obitelj', 'Jungles', 'ljubav', 'žene', 'Children', 'Hermanas', 'Kids', 'Mothers', 'Familias', 'Animals', 'odrastanje', 'Manners', 'Adaptations', 'Familles', 'odrastanje', 'Legends', 'ljubav', 'Novela'}"
21,Jane Eyre,Charlotte Brontë/Michael Mason,4.12,142437204,9.78E+12,eng,532,1409369,27884,02/04/03,Penguin,"{'Orphans', 'Adaptations', 'Sources', 'Adaptations', 'Orphans', 'Orphans', 'Bildungsromans', 'Sources'}"
22,Eat  Pray  Love,Elizabeth Gilbert,3.55,143038419,9.78E+12,eng,368,1362264,47620,02/01/07,Riverhead Books,"{'Influence', 'Anecdotes', 'Travel', 'Influence', 'Travel'}"
23,Memoirs of a Geisha,Arthur Golden,4.11,739326228,9.78E+12,eng,434,1301083,19296,11/15/2005,Random House Large Print Publishing,"{'Prostitution', 'Geishas', 'Women', 'Japan', 'Women', 'Women', 'Fiction'}"
24,Charlotte's Web,E.B. White/Garth Williams/Rosemary Wells,4.17,64410935,9.78E+12,eng,184,1300470,14739,10/01/01,HarperCollinsPublishers,"{'Swans', 'Mice', 'Fantasy', 'Folklore', 'Blind', 'Farms', 'Amistad', 'Folklore', 'Fantasy', 'Authors', 'Amistad'}"
25,Water for Elephants,Sara Gruen,4.09,1565125606,9.78E+12,eng,335,1260027,52759,05/01/07,Algonquin Books,"{'Circo', 'fiction', 'romance', 'romance', 'Orphans', 'Depressions', 'Orphans'}"
26,Brave New World,Aldous Huxley,3.99,60929871,9.78E+12,eng,288,1247221,20014,09/01/98,HarperPerennial / Perennial Classics,"{'Gesellschaft', 'Classics', 'future', 'Dystopian', 'Collectivism', 'Ciencia', 'Ficción', 'Fiction', 'future', 'Dystopias', 'Dystopias', 'Propaganda', 'Dystopias', 'Capitalism'}"
27,The Notebook (The Notebook  #1),Nicholas Sparks,4.09,553816713,9.78E+12,eng,214,1090603,15272,07/05/04,Bantam,"{'Kärlek', 'Novela', 'Ancianos'}"
28,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.88,1400032717,9.78E+12,eng,226,1054308,35537,5/18/2004,Vintage,"{'Novela', 'Plays', 'Autisme', 'Dogs', 'Plays', 'Dogs', 'Autisme', 'Ficción', 'Plays', 'Ficción', 'Literature', 'Novela', 'Mutterentbehrung', 'Ficción', 'Puzzles', 'Mutterentbehrung', 'Psychology', 'Ficción', 'General', 'In'}"
29,The Adventures of Huckleberry Finn (Adventures of Tom and Huck  #2),Mark Twain/Guy Cardwell/John Seelye/Walter Trier,3.82,142437174,9.78E+12,eng,327,1049912,11391,12/31/2002,Penguin Classics,"{'Garçons', 'literature', 'Manuscripts', 'Specimens', 'Histoire', 'Voyage', 'Slaves', 'Amours', 'friendship', 'humor', 'Personnages', 'Sœurs', 'Manuscripts', 'Travel', 'garcons', 'Histoire', 'Fiction'}"
30,The Secret Life of Bees,Sue Monk Kidd,4.05,142001740,9.78E+12,eng,302,1044725,26279,1/28/2003,Penguin Books,"{'Literature', 'Fiction', 'Secrets', 'Sisters'}"
31,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.07,385333846,9.78E+12,eng,275,1001671,19056,01/12/99,Dial Press,"{'Animals', 'Drama', 'Drama'}"
32,Gone with the Wind,Margaret Mitchell,4.29,446675539,9.78E+12,eng,1037,999139,15323,04/01/99,Warner Books,"{'history', 'History', 'Historical', 'Drama', 'History', 'Bildungsroman'}"
33,My Sister's Keeper,Jodi Picoult,4.07,743454537,9.78E+12,eng,423,986711,29652,02/01/05,Washington Square Press,"{'Bruising', 'Adolescentes', 'Hermanas', 'Leucemia', 'Family', 'Women', 'Blood', 'Transplantation', 'Leukemia', 'Sisters', 'Teenagers', 'Needles', 'Blood', 'Famille', 'Leucémiques', 'Adolescentes', 'Transfusions', 'Patients', 'Transfusions', 'Leukemia', 'Transplants', 'Ficción', 'Sisters', 'Famille'}"
34,The Shining,Stephen King,4.22,450040186,9.78E+12,eng,659,978535,15105,07/01/80,New English Library (Hodder & Stoughton),"{'Fiction', 'roque', 'hotelkeepers', 'Family', 'precognition', 'authors', 'ghosts', 'precognition', 'Hotels'}"
35,Holes (Holes  #1),Louis Sachar,3.96,439244196,9.78E+12,eng,233,887554,17547,09/02/00,Scholastic,"{'Lesen', 'Überleben', 'Jugendbuch', 'Freundschaft', 'Flucht', 'Fiction', 'Straflager', 'Deserts', 'Flucht'}"
36,The Glass Castle,Jeannette Walls,4.27,074324754X,9.78E+12,eng,288,808656,46176,1/17/2006,Scribner,"{'Poverty', 'Itinérance', 'Alcoholism', 'Poor', 'Survival', 'Survival', 'Pauvreté'}"
37,Into the Wild,Jon Krakauer,3.98,385486804,9.78E+12,eng,207,800349,18198,1/20/1997,Anchor Books,"{'Adventurers', 'Journeys', 'Biography', 'Travel', 'Hitchhiking', 'Hitchhiking', 'Hitchhiking', 'Hitchhiking'}"
38,Dracula,Bram Stoker/Nina Auerbach/David J. Skal,3.99,393970124,9.78E+12,eng,488,774987,14944,05/12/86,Norton,"{'British', 'FICTION', 'Vampires', 'Literature', 'Monsters', 'French', 'FICTION', 'Monsters'}"
39,The Secret Garden,Frances Hodgson Burnett,4.13,517189607,9.78E+12,eng,331,764134,11796,09/01/98,Children's Classics,"{'Fiction', 'History', 'Jardines', 'Garten', 'Gardens', 'Selbsterziehung', 'Readers', 'Chinese', 'Jardins', 'Jardines', 'Literature', 'French', 'Garten', 'Huérfanos'}"
40,The Odyssey,Homer/Robert Fagles/Bernard Knox,3.76,143039954,9.78E+12,eng,541,760871,6557,11/30/2006,Penguin Classics,"{'Readers', 'Literature', 'Literature', 'Adaptations', 'Homer', 'Poetry', 'Homer', 'Literature', 'Adaptations', 'Epic', 'Drama', 'Poesía', 'Poetry', 'Diseases'}"
41,The Picture of Dorian Gray,Oscar Wilde/Jeffrey Eugenides,4.08,375751513,9.78E+12,eng,272,760717,17179,06/01/04,Random House: Modern Library,"{'Classics', 'Readers', 'Fiction', 'Education', 'Hedonism'}"
42,The Devil Wears Prada (The Devil Wears Prada  #1),Lauren Weisberger,3.74,307275558,9.78E+12,eng,432,744569,7247,5/30/2006,Anchor Books,"{'Supervisors', 'Revistas', 'Publishing'}"
43,The Princess Bride,William Goldman,4.26,345418263,9.78E+12,eng,456,703676,13878,7/15/2003,Ballantine Books,{'Princesses'}
44,Outlander (Outlander  #1),Diana Gabaldon,4.23,440242940,9.78E+12,eng,850,673350,34690,7/26/2005,Dell Publishing Company,{'Fiction'}
45,The Adventures of Tom Sawyer (Adventures of Tom and Huck  #1),Mark Twain/Guy Cardwell/John Seelye,3.91,143039563,9.78E+12,eng,244,667590,6783,2/28/2006,Penguin Classics,"{'ADULT', 'Juvenile', 'Boys', 'Runaways', 'Spanish', 'Manuscripts', 'Movies', 'Adventurerers', 'Translations', 'Adventures', 'Theater', 'Paperback', 'Niños', 'Stories', 'Classic', 'Spanish', 'Adventure', 'Witnesses', 'Hardcover', 'Muchachos'}"
46,The Count of Monte Cristo,Alexandre Dumas/Robin Buss,4.25,140449264,9.78E+12,eng,1276,647271,14249,5/27/2003,Penguin Classics,"{'Readers', 'Histoire', 'france', 'Readers', 'Piratas', 'Historia', 'Fiction', 'Readers', 'Pirates', 'Venganza', 'Marineros'}"
47,A Clash of Kings  (A Song of Ice and Fire  #2),George R.R. Martin,4.41,553381695,9.78E+12,eng,969,638766,16535,5/28/2002,Bantam,"{'Fantasy', 'Epic', 'Revenge', 'Brothers', 'Betrayal', 'Revenge', 'Brothers'}"
48,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.97,316346624,9.78E+12,eng,301,633037,11898,01/07/02,Back Bay Books,"{'Erfolg', 'Vernieuwing', 'Vernieuwing', 'PSYCHOLOGY', 'Causalité', 'Vernieuwing', 'Causalité'}"
49,The Sea of Monsters (Percy Jackson and the Olympians  #2),Rick Riordan,4.24,786856866,9.78E+12,eng,279,630511,19806,04/01/06,Hyperion Books,"{'Adaptations', 'Viajes', 'Quakers', 'Identity'}"
50,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,3.97,61234001,9.78E+12,eng,320,628745,13034,10/17/2006,William Morrow,"{'education', 'teachers', 'collusion', 'Finance', 'cheating', 'Finance', 'Business', 'Nonfiction'}"
51,And Then There Were None,Agatha Christie,4.26,312330871,9.78E+12,eng,264,625767,18785,05/03/04,St. Martin's Press,"{'Millionaires', 'Islands', 'murder'}"
52,Anne of Green Gables (Anne of Green Gables  #1),L.M. Montgomery,4.25,451528824,9.78E+12,eng,320,625759,13883,05/06/03,Signet Book,"{'Teaching', 'Literature', 'French', 'French', 'Imagination', 'Teaching', 'Amitié', 'Islands', 'Anne', 'Literature', 'Friendship', 'Friendship'}"
53,The Poisonwood Bible,Barbara Kingsolver,4.06,60786507,9.78E+12,eng,546,613758,19846,07/05/05,Harper Perennial Modern Classics,"{'Literature', 'Literature', 'Racism', 'Family', 'Families'}"
