6001,The Puritan Dilemma: The Story of John Winthrop,Edmund S. Morgan,3.41,321478061,9.78032E+12,eng,210,551,58,10/01/06,Pearson,"{'Puritans', 'Puritans', 'Governors'}"
6002,The Anglo-Saxons,James Campbell/Eric John/Patrick Wormald,4.04,140143955,9.78014E+12,eng,272,550,28,3/28/1991,Penguin,{'History'}
6003,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,321430840,9.78032E+12,en-US,456,549,42,08/01/06,Peachpit Press,"{'Publishing', 'Publishing', 'HTML'}"
6004,This Side of Paradise (Paradise  #1),Steven L. Layne,3.73,1589802543,9.78159E+12,eng,224,549,80,3/31/2005,Pelican Publishing,"{'Perfection', 'Fiction', 'Fiction', 'Perfection'}"
6005,Jenny,Sigrid Undset/Tiina Nunnally,3.79,158642050X,9.78159E+12,eng,330,549,42,06/01/98,Steerforth,{}
6006,Aman: The Story of a Somali Girl,Virginia Lee Barnes,3.77,679762094,9.78068E+12,eng,368,549,46,8/29/1995,Vintage,{}
6007,The Age of Bronze (Pirates of the Caribbean: Jack Sparrow  #5),Rob Kidd/Walt Disney Company,4.05,1423101685,9.78142E+12,eng,144,548,14,12/01/06,Disney Press,"{'Fiction', 'Pirates'}"
6008,Among the Dolls,William Sleator,3.65,765352397,9.78077E+12,eng,96,548,84,05/02/06,Starscape,{'Fiction'}
6009,Underworld: Blood Enemy (Underworld  #2),Greg Cox/Len Wiseman/Kevin Grevioux,3.91,743480724,9.78074E+12,eng,310,548,26,11/30/2004,Pocket Star,"{'Sequel', 'Vampires', 'Werewolves'}"
6010,Novels 1955–1962: Lolita / Pnin / Pale Fire / Lolita: A Screenplay,Vladimir Nabokov/Brian Boyd,4.41,1883011191,9.78188E+12,eng,916,547,39,10/01/96,Library of America,"{'novela', 'fiction'}"
6011,Do Not Open This Book,Michaela Muntean/Pascal Lemaître,3.9,439698391,9.78044E+12,eng,40,547,185,03/01/06,Scholastic Press,"{'Authorship', 'Fiction', 'Authorship'}"
6012,Naked Conversations: How Blogs Are Changing the Way Businesses Talk with Customers,Robert Scoble/Shel  Israel,3.72,047174719X,9.78047E+12,eng,251,547,32,01/01/06,Wiley,{'Weblogs'}
6013,Persian Mirrors: The Elusive Face of Iran,Elaine Sciolino,3.82,743284798,9.78074E+12,eng,432,546,53,10/03/05,Free Press,{}
