bookid,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,available_copies,publication_date,publisher,subject
693,Sula,Toni Morrison,3.93,452283868,9.78045E+12,eng,174,47998,2479,04/05/02,Plume Books,{}
791,Harvesting the Heart,Jodi Picoult,3.6,140230270,9.78014E+12,eng,453,39611,2473,04/01/95,Penguin Books,{}
976,The Good Guy,Dean Koontz,3.82,553804812,9.78055E+12,eng,386,29967,1317,5/29/2007,Bantam,{}
1013,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9.78044E+12,eng,3342,28242,808,09/12/05,Scholastic,{}
1401,Boy's Life,Robert R. McCammon,4.35,671743058,9.78067E+12,eng,580,17540,1740,05/01/92,Pocket Books,"{''Magic'',''Magic''}"
1873,Floating Dragon,Peter Straub,3.84,425189643,9.78043E+12,eng,595,10727,140,08/05/03,Berkley,{}
10082,Blame! #1,Tsutomu Nihei,4.1,2723431029,9.78272E+12,fre,245,18,5,3/20/2000,Glénat,
2023,Shibumi,Trevanian/Gisela Stege,4.21,1400098033,9.7814E+12,eng,480,9498,637,05/10/05,Broadway Books,{}
2048,Out of Africa / Shadows on the Grass,Isak Dinesen/Karen Blixen,4.24,679724753,9.78068E+12,eng,462,9298,312,10/23/1989,Vintage,{}
4,The Catcher in the Rye,J.D. Salinger,3.8,316769177,9.78032E+12,eng,277,2457092,43499,1/30/2001,Back Bay Books,{'Heranwachsender'}
2498,Essays and Aphorisms,Arthur Schopenhauer/R.J. Hollingdale,4.17,140442278,9.78014E+12,eng,240,6222,169,8/26/1976,Penguin Classics,{}
2524,Texas! Sage (Texas! Tyler Family Saga  #3),Sandra Brown,4.02,553295004,9.78055E+12,eng,352,6114,195,02/01/92,Bantam,{}
2562,The Dying Animal,Philip Roth,3.63,99422697,9.7801E+12,eng,156,5910,437,03/07/02,Vintage,{'Roman'}
2610,Stinger,Robert R. McCammon,3.87,671737767,9.78067E+12,en-US,538,5725,147,04/01/88,Pocket Books,{}
2869,Los funerales de la Mamá Grande,Gabriel García Márquez,3.78,307350320,9.78031E+12,spa,160,4694,133,02/07/06,Plaza y Janes,{'Fiction'}
